timestamp,close,high,low,open,volume,symbol
1558692360,246.73,246.73,246.73,246.73,0.0,UNH
1558696800,248.0,248.0,248.0,248.0,0.0,UNH
1558697820,247.4,247.4,247.4,247.4,0.0,UNH
1558699020,247.7,247.7,247.7,247.7,0.0,UNH
1558700040,247.7,247.7,247.7,247.7,0.0,UNH
1558700100,246.81,246.81,246.81,246.81,0.0,UNH
1558704600,246.66000366210938,247.47000122070312,246.5,247.25,72097.0,UNH
1558704660,246.5399932861328,246.7899932861328,246.5,246.55999755859375,4684.0,UNH
1558704720,247.16380310058594,247.16380310058594,246.6300048828125,246.6300048828125,12971.0,UNH
1558704780,248.1759033203125,248.27999877929688,247.18890380859375,247.30999755859375,27348.0,UNH
1558704840,249.08999633789062,249.36000061035156,248.1403045654297,248.1403045654297,29221.0,UNH
1558704900,248.4499969482422,249.08999633789062,248.44000244140625,249.0749969482422,18373.0,UNH
1558704960,248.07000732421875,248.46749877929688,247.92999267578125,248.13479614257812,21513.0,UNH
1558705020,247.72999572753906,248.17999267578125,247.7100067138672,248.0399932861328,8884.0,UNH
1558705080,247.56300354003906,247.9600067138672,247.4600067138672,247.72000122070312,10020.0,UNH
1558705140,247.6699981689453,248.0319061279297,247.6300048828125,247.6300048828125,7490.0,UNH
1558705200,247.6999969482422,247.88999938964844,247.55999755859375,247.67999267578125,4837.0,UNH
1558705260,247.39999389648438,247.6199951171875,247.3800048828125,247.6199951171875,5809.0,UNH
1558705320,247.32000732421875,247.49000549316406,247.25999450683594,247.49000549316406,4497.0,UNH
1558705380,247.38499450683594,247.50999450683594,247.2949981689453,247.32000732421875,10009.0,UNH
1558705440,247.36500549316406,247.47000122070312,247.15499877929688,247.4499969482422,7316.0,UNH
1558705500,247.21499633789062,247.44000244140625,247.2100067138672,247.30999755859375,12286.0,UNH
1558705560,247.2100067138672,247.35000610351562,247.0449981689453,247.13999938964844,9743.0,UNH
1558705620,247.74000549316406,247.86000061035156,246.89500427246094,247.14999389648438,21812.0,UNH
1558705680,247.02999877929688,247.7050018310547,246.97000122070312,247.67999267578125,12128.0,UNH
1558705740,246.75,247.1300048828125,246.75,247.01499938964844,4705.0,UNH
1558705800,246.88999938964844,246.97000122070312,246.625,246.7899932861328,11635.0,UNH
1558705860,247.03500366210938,247.14500427246094,246.8800048828125,247.0800018310547,6405.0,UNH
1558705920,247.32000732421875,247.32000732421875,246.8699951171875,247.00999450683594,15325.0,UNH
1558705980,247.1699981689453,247.40809631347656,247.08999633789062,247.38999938964844,13689.0,UNH
1558706040,246.91000366210938,247.1750030517578,246.8018035888672,247.1750030517578,12188.0,UNH
1558706100,246.9199981689453,247.1230926513672,246.9199981689453,246.92999267578125,6552.0,UNH
1558706160,246.9149932861328,246.9149932861328,246.6199951171875,246.75,8834.0,UNH
1558706220,246.57000732421875,246.90499877929688,246.55999755859375,246.90499877929688,9792.0,UNH
1558706280,246.4550018310547,246.66000366210938,246.4550018310547,246.57000732421875,9907.0,UNH
1558706340,246.5500030517578,246.60000610351562,246.38499450683594,246.41000366210938,6978.0,UNH
1558706400,246.35000610351562,246.49000549316406,246.22999572753906,246.49000549316406,8000.0,UNH
1558706460,246.2949981689453,246.4199981689453,246.2899932861328,246.35499572753906,4229.0,UNH
1558706520,246.5,246.66000366210938,246.3000030517578,246.3000030517578,10750.0,UNH
1558706580,246.9199981689453,246.9199981689453,246.5399932861328,246.5500030517578,8851.0,UNH
1558706640,246.9499969482422,247.0399932861328,246.80999755859375,246.9259033203125,11962.0,UNH
1558706700,247.0500030517578,247.0500030517578,246.91000366210938,246.97000122070312,4131.0,UNH
1558706760,247.14999389648438,247.33999633789062,247.0800018310547,247.0800018310547,12752.0,UNH
1558706820,246.6999969482422,247.0800018310547,246.6999969482422,247.0800018310547,8339.0,UNH
1558706880,246.82000732421875,246.85000610351562,246.72999572753906,246.7449951171875,9345.0,UNH
1558706940,246.92999267578125,246.9499969482422,246.77000427246094,246.7899932861328,8019.0,UNH
1558707000,246.6199951171875,247.03500366210938,246.58999633789062,246.94000244140625,11422.0,UNH
1558707060,246.6199951171875,246.8000030517578,246.55999755859375,246.6699981689453,6821.0,UNH
1558707120,246.60000610351562,246.74000549316406,246.60000610351562,246.63999938964844,5987.0,UNH
1558707180,246.4199981689453,246.6199951171875,246.4199981689453,246.58999633789062,3681.0,UNH
1558707240,246.50999450683594,246.77999877929688,246.47999572753906,246.47999572753906,9263.0,UNH
1558707300,246.7550048828125,246.8350067138672,246.58999633789062,246.6199951171875,2218.0,UNH
1558707360,246.97000122070312,247.05999755859375,246.72000122070312,246.75,6330.0,UNH
1558707420,247.1699981689453,247.22999572753906,247.00999450683594,247.05999755859375,6154.0,UNH
1558707480,247.27999877929688,247.30999755859375,247.10000610351562,247.10000610351562,6184.0,UNH
